Product Name,Product Color,Phone Storage,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
Apple iPhone SE ,White, 256 GB ,Apple,44999,54900,18,95909,8161,MOBFRFXHPZCHAPEH,4.5,2 GB
APPLE iPhone 12 Pro ,Silver, 512 GB,Apple,140900,149900,6,542,42,MOBFWBYZ5UY6ZBVA,4.5,4 GB
APPLE iPhone 12 Pro Max ,Pacific Blue, 256 GB,Apple,130900,139900,6,580,45,MOBFWBYZ8STJXCVT,4.6,6 GB
APPLE iPhone 12 Mini ,White, 128 GB,Apple,64900,74900,13,740,64,MOBFWBYZAGXJRDGB,4.5,4 GB
APPLE iPhone 12 Pro ,Graphite, 256 GB,Apple,120900,129900,6,545,42,MOBFWBYZBA36UB7G,4.5,6 GB
APPLE iPhone 12 Mini ,White, 64 GB,Apple,59900,69900,14,740,64,MOBFWBYZBH4CEC4C,4.5,4 GB
APPLE iPhone 12 ,White, 128 GB,Apple,75900,84900,10,2101,180,MOBFWBYZBTZFGJF9,4.6,6 GB
APPLE iPhone 12 Pro ,Graphite, 128 GB,Apple,110900,119900,7,545,42,MOBFWBYZBZ7Y56WD,4.5,6 GB
APPLE iPhone 12 Pro Max ,Graphite, 256 GB,Apple,130900,139900,6,580,45,MOBFWBYZEF6XQ5ZW,4.6,6 GB
APPLE iPhone 12 Pro Max ,Graphite, 128 GB,Apple,120900,129900,6,580,45,MOBFWBYZFDGQSDWS,4.6,6 GB
APPLE iPhone 12 Mini ,Black, 128 GB,Apple,64900,74900,13,730,63,MOBFWBYZH2AMPNPD,4.5,4 GB
APPLE iPhone 12 Mini ,Blue, 128 GB,Apple,64900,74900,13,730,63,MOBFWBYZHU58PHCZ,4.5,4 GB
APPLE iPhone 12 ,Black, 128 GB,Apple,75900,84900,10,2101,180,MOBFWBYZK3HACR72,4.6,6 GB
APPLE iPhone 12 ,Blue, 128 GB,Apple,75900,84900,10,2101,180,MOBFWBYZKPTZF9VG,4.6,6 GB
APPLE iPhone 12 Pro Max ,Silver, 128 GB,Apple,120900,129900,6,580,45,MOBFWBYZNSNVGGZC,4.6,6 GB
APPLE iPhone 12 Mini ,Red, 64 GB,Apple,59900,69900,14,740,64,MOBFWBYZNVWGWN2U,4.5,6 GB
APPLE iPhone 12 Pro Max ,Gold, 128 GB,Apple,120900,129900,6,580,45,MOBFWBYZQVKT77YH,4.6,6 GB
APPLE iPhone 12 ,Green, 128 GB,Apple,75900,84900,10,2092,178,MOBFWBYZQXUEHF48,4.6,6 GB
APPLE iPhone 12 Pro ,Pacific Blue, 512 GB,Apple,140900,149900,6,545,42,MOBFWBYZTHSXKMGW,4.5,4 GB
APPLE iPhone 12 ,White, 64 GB,Apple,70900,79900,11,2101,180,MOBFWBYZTK33MBG9,4.6,6 GB
APPLE iPhone 12 ,Black, 64 GB,Apple,70900,79900,11,2092,178,MOBFWBYZU5FWK2VP,4.6,6 GB
APPLE iPhone 12 ,Red, 128 GB,Apple,75900,84900,10,2101,180,MOBFWBYZUHPFWQRD,4.6,6 GB
APPLE iPhone 12 Mini ,Black, 64 GB,Apple,59900,69900,14,740,64,MOBFWBYZXSEGBS6F,4.5,4 GB
APPLE iPhone 12 Pro ,Pacific Blue, 128 GB,Apple,110900,119900,7,545,42,MOBFWBYZXYSCEEEH,4.5,6 GB
APPLE iPhone 12 Pro Max ,Pacific Blue, 128 GB,Apple,120900,129900,6,580,45,MOBFWBYZZABKHZQA,4.6,6 GB
APPLE iPhone 12 Pro Max ,Silver, 256 GB,Apple,130900,139900,6,580,45,MOBFWBYZZH4AM8FE,4.6,6 GB
APPLE iPhone 12 Pro Max ,Gold, 256 GB,Apple,130900,139900,6,580,45,MOBFWBYZZPW8JHQF,4.6,6 GB
APPLE iPhone 11 ,White, 128 GB,Apple,54999,59900,8,43707,3357,MOBFWQ6B7KKRXDDS,4.6,4 GB
APPLE iPhone 11 ,Red, 128 GB,Apple,54999,59900,8,43707,3357,MOBFWQ6BEZTNK59G,4.6,4 GB
APPLE iPhone SE ,White, 64 GB,Apple,29999,39900,24,95807,8154,MOBFWQ6BGWDVGF3E,4.5,2 GB
APPLE iPhone SE ,Black, 128 GB,Apple,34999,44900,22,95909,8161,MOBFWQ6BHUEVZPXD,4.5,2 GB
APPLE iPhone SE ,White, 128 GB,Apple,34999,44900,22,95807,8154,MOBFWQ6BJEHMUUZY,4.5,2 GB
APPLE iPhone SE ,Red, 128 GB,Apple,34999,44900,22,95909,8161,MOBFWQ6BJTVFKPEJ,4.5,2 GB
APPLE iPhone 11 ,Black, 128 GB,Apple,54999,59900,8,43470,3331,MOBFWQ6BKRYBP5X8,4.6,4 GB
APPLE iPhone SE ,Black, 64 GB,Apple,29999,39900,24,95909,8161,MOBFWQ6BR3MK7AUG,4.5,4 GB
APPLE iPhone 11 ,Purple, 64 GB,Apple,46999,54900,14,43470,3331,MOBFWQ6BTFFJKGKE,4.6,4 GB
APPLE iPhone 11 ,White, 64 GB,Apple,46999,54900,14,43470,3331,MOBFWQ6BVWVEH3XE,4.6,4 GB
APPLE iPhone 11 ,Black, 64 GB,Apple,46999,54900,14,43470,3331,MOBFWQ6BXGJCEYNY,4.6,4 GB
APPLE iPhone 11 ,Red, 64 GB,Apple,46999,54900,14,43470,3331,MOBFWQ6BYYV3FCU7,4.6,4 GB
